,improve,makespan1,makespan2,makespan3,number_of_edges,number_of_nodes,priotime,type1,type2,type3,,
209,91.46064201,2087,2087,2087,1483,252,2.011318684,2.386542797,2.103209019,0.203795433,TRUE,TRUE
210,98.81374801,2152,2152,2152,5937,252,3.83945179,4.180000782,4.11523056,0.049585342,TRUE,TRUE
211,98.93595072,2068,2068,2068,6256,252,4.198077679,4.373859644,4.446067333,0.046540022,TRUE,TRUE
212,98.89711161,2114,2114,2114,4866,252,3.518128157,3.764173746,3.736215353,0.041514635,TRUE,TRUE
213,98.90659704,2100,2100,2100,5192,252,3.633090496,3.89881134,3.923161268,0.042629719,TRUE,TRUE
214,98.90401418,2055,2055,2055,5837,252,3.923641443,4.172335625,4.360002756,0.045728207,TRUE,TRUE
215,99.04450301,2112,2112,2112,5577,252,3.729991198,4.554071188,3.874722719,0.043514013,TRUE,TRUE
216,98.3390405,10089,10089,10089,301,302,2.444610834,2.680444241,2.554990768,0.044521093,TRUE,TRUE
217,98.24791833,6806,6806,6806,380,302,2.373578548,2.465421677,2.483500242,0.043196201,TRUE,TRUE
218,98.32305624,4143,4143,4143,393,302,2.181788921,2.574665785,2.332947969,0.043175697,TRUE,TRUE
219,98.26037457,9951,9951,9951,301,302,2.087756395,2.508813143,2.586299419,0.043643951,TRUE,TRUE
220,98.20351984,6719,6719,6719,379,302,2.334150314,2.433581829,2.438560724,0.043718815,TRUE,TRUE
221,98.24168912,4004,4004,4004,396,302,2.321324587,2.401445866,2.468026161,0.042224884,TRUE,TRUE
222,98.10006005,10329,10329,10329,301,302,2.103031635,2.355624914,2.454862595,0.044755459,TRUE,TRUE
223,98.17912652,6902,6902,6902,377,302,2.112263918,2.526849508,2.434565067,0.046010733,TRUE,TRUE
224,98.34727152,3961,3961,3961,397,302,2.125420809,2.54585743,2.461368322,0.042076111,TRUE,TRUE
225,98.10929363,10187,10187,10187,301,302,2.295460463,2.412260294,2.442051411,0.045608759,TRUE,TRUE
226,98.30747128,6917,6917,6917,374,302,2.10037303,2.647732496,2.488037348,0.044813633,TRUE,TRUE
227,98.43714724,4284,4284,4284,396,302,2.144915342,2.720333099,2.314002991,0.042514801,TRUE,TRUE
228,98.7228095,2566,2566,2566,534,302,2.212553263,2.597105503,2.496595144,0.033169985,TRUE,TRUE
229,98.60700915,2489,2489,2489,523,302,2.224113464,2.477738142,2.46877265,0.034514666,TRUE,TRUE
230,98.74262467,2470,2470,2470,543,302,2.204277992,2.625234604,2.532978535,0.033009052,TRUE,TRUE
231,98.72650244,2535,2535,2535,496,302,2.405168295,2.478809118,2.520660162,0.031567574,TRUE,TRUE
232,98.61415737,2520,2520,2520,498,302,2.389777899,2.453856945,2.485391378,0.034006596,TRUE,TRUE
233,98.64409439,2611,2611,2611,497,302,2.371112823,2.434377432,2.502664328,0.03300786,TRUE,TRUE
234,98.87107098,2496,2496,2496,1234,302,2.615315676,3.023861408,2.696352005,0.034137249,TRUE,TRUE
235,98.93904547,2524,2524,2524,1165,302,2.611297846,3.225350618,2.73757267,0.034219503,TRUE,TRUE
236,98.81418788,2496,2496,2496,1099,302,2.611088276,3.036659241,2.850792885,0.036009073,TRUE,TRUE
237,98.77639198,2636,2636,2636,1179,302,2.851490498,2.880411148,2.889425755,0.035244942,TRUE,TRUE
238,98.76739552,2578,2578,2578,1099,302,2.586830139,2.840122461,2.823717833,0.035007477,TRUE,TRUE
239,98.8693783,2508,2508,2508,1203,302,2.651005268,3.107521772,3.185633659,0.035134315,TRUE,TRUE
240,98.84827103,2493,2493,2493,2227,302,3.394700289,3.560683727,3.42710638,0.041009426,TRUE,TRUE
241,98.83429738,2510,2510,2510,1324,302,2.902918577,3.174721241,3.055047035,0.037007809,TRUE,TRUE
242,98.86857166,2455,2455,2455,1163,302,2.581707954,3.240590811,2.940536976,0.036664963,TRUE,TRUE
243,98.93286911,2539,2539,2539,2014,302,3.040782213,3.655534029,3.35670805,0.039009333,TRUE,TRUE
244,98.87098563,2479,2479,2479,2271,302,3.506406784,3.608669519,3.514978647,0.040742397,TRUE,TRUE
245,98.88535282,2492,2492,2492,2108,302,3.315629959,3.46008873,3.644453526,0.038567781,TRUE,TRUE
