,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2
753,1138584.0,785362.0,1138584.0,1233191.0,788239.0,1233191.0,1152682.0,786193.0,1152682.0
754,1147710.0,751974.0,1147710.0,1219287.0,751103.0,1219287.0,1148409.0,753449.0,1148409.0
755,1153434.0,758388.0,1153434.0,1232116.0,760487.0,1232116.0,1179283.0,758033.0,1179283.0
756,1145858.0,761815.0,1145858.0,1147621.0,764750.0,1147621.0,1361120.0,773451.0,1361120.0
757,1119613.0,711531.0,1119613.0,1240569.0,707370.0,1240569.0,1153598.0,711352.0,1153598.0
758,1180347.0,764738.0,1180347.0,1246359.0,761799.0,1246359.0,1173890.0,771036.0,1173890.0
759,1125794.0,781143.0,1125794.0,1325132.0,776197.0,1325132.0,1127284.0,775883.0,1127284.0
760,1157139.0,752685.0,1157139.0,1191804.0,760098.0,1191804.0,1162107.0,752685.0,1162107.0
761,1130882.0,735661.0,1130882.0,1291579.0,732284.0,1291579.0,1218705.0,734001.0,1218705.0
762,1172589.0,760455.0,1172589.0,1293930.0,761381.0,1293930.0,1169134.0,757703.0,1169134.0
763,1178679.0,760455.0,1178679.0,1267269.0,759468.0,1267269.0,1185645.0,762295.0,1185645.0
764,1141871.0,761176.0,1141871.0,1334768.0,753806.0,1334768.0,1194751.0,758322.0,1194751.0
765,1138465.0,764732.0,1138465.0,1176031.0,770226.0,1176031.0,1132160.0,762925.0,1132160.0
766,1135226.0,754386.0,1135226.0,1184955.0,746851.0,1184955.0,1134440.0,762330.0,1134440.0
767,1143392.0,686572.0,1143392.0,1216996.0,687723.0,1216996.0,1143923.0,704073.0,1143923.0
768,1140590.0,776445.0,1140590.0,1147581.0,773867.0,1147581.0,1136879.0,775558.0,1136879.0
769,1152862.0,750034.0,1152862.0,1307774.0,741332.0,1307774.0,1144075.0,750031.0,1144075.0
770,1154836.0,769789.0,1154836.0,1320202.0,760860.0,1320202.0,1149160.0,767890.0,1149160.0
771,1155325.0,743735.0,1155325.0,1259746.0,740986.0,1259746.0,1282427.0,742129.0,1282427.0
772,1160851.0,739136.0,1160851.0,1252607.0,733003.0,1252607.0,1197082.0,741336.0,1197082.0
773,1165431.0,727528.0,1165431.0,1254014.0,717918.0,1254014.0,1170361.0,724223.0,1170361.0
774,1129363.0,744883.0,1129363.0,1163960.0,736984.0,1163960.0,1130224.0,758054.0,1130224.0
775,1136191.0,766418.0,1136191.0,1278349.0,766827.0,1278349.0,1142824.0,774782.0,1142824.0
