,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,SPT_MAKESPAN,SPT_C1,SPT_C2
193,1170285.0,731222.0,1170285.0,1246283.0,730352.0,1246283.0,1358282.0,728654.0,1358282.0
194,1118978.0,774841.0,1118978.0,1291087.0,762260.0,1291087.0,1317550.0,764430.0,1317550.0
195,1126300.0,722570.0,1126300.0,1274911.0,727852.0,1274911.0,1156294.0,720760.0,1156294.0
196,1105952.0,721630.0,1105952.0,1212443.0,718575.0,1212443.0,1181684.0,723308.0,1181684.0
197,1156639.0,749454.0,1156639.0,1235888.0,754323.0,1235888.0,1304588.0,748048.0,1304588.0
198,1150087.0,762687.0,1150087.0,1158263.0,770753.0,1158263.0,1329344.0,779427.0,1329344.0
199,1146301.0,750678.0,1146301.0,1301769.0,745100.0,1301769.0,1303121.0,742343.0,1303121.0
200,1148487.0,770406.0,1148487.0,1318897.0,762348.0,1318897.0,1304258.0,769136.0,1304258.0
201,1143452.0,745307.0,1143452.0,1206030.0,743536.0,1206030.0,1286300.0,745300.0,1286300.0
202,1178818.0,781666.0,1178818.0,1258533.0,787170.0,1258533.0,1279202.0,790475.0,1279202.0
203,1155796.0,754096.0,1155796.0,1305502.0,752063.0,1305502.0,1210922.0,758415.0,1210922.0
204,1170697.0,770199.0,1170697.0,1293732.0,754459.0,1293732.0,1238107.0,767112.0,1238107.0
205,1133289.0,768295.0,1133289.0,1278496.0,776806.0,1278496.0,1328006.0,762746.0,1328006.0
206,1184039.0,740355.0,1184039.0,1195620.0,744920.0,1195620.0,1250817.0,737634.0,1250817.0
207,1171742.0,762799.0,1171742.0,1192164.0,762451.0,1192164.0,1345065.0,764573.0,1345065.0
208,1139507.0,744765.0,1139507.0,1166017.0,742690.0,1166017.0,1154713.0,750330.0,1154713.0
209,1160431.0,744746.0,1160431.0,1281501.0,750480.0,1281501.0,1275518.0,737674.0,1275518.0
210,1133890.0,724005.0,1133890.0,1136409.0,725083.0,1136409.0,1146511.0,723403.0,1146511.0
211,1183650.0,761874.0,1183650.0,1229692.0,765863.0,1229692.0,1297987.0,762635.0,1297987.0
212,1206626.0,729912.0,1206626.0,1203445.0,726256.0,1203445.0,1370128.0,730816.0,1370128.0
213,1130640.0,756226.0,1130640.0,1239920.0,746572.0,1239920.0,1124878.0,752229.0,1124878.0
214,1114010.0,781918.0,1114010.0,1240012.0,771421.0,1240012.0,1217720.0,775323.0,1217720.0
215,1176571.0,757508.0,1176571.0,1242287.0,749931.0,1242287.0,1321505.0,752646.0,1321505.0
216,1129783.0,760350.0,1129783.0,1256149.0,757687.0,1256149.0,1258436.0,760991.0,1258436.0
