,jiter_rate,dag_count,core_num,dag_set_id,fifo,self_s,self_d,self_opt,self_s_impro,self_d_impro,self_opt_impro,S_D_impro,S_opt_impro
10013,0.5,6.0,6.0,12.0,941466.3215269656,846112.1435962531,853683.6218435052,852247.9959899257,10.128262238425842,9.324040348154517,9.476528633795054,-0.8948551683788396,-0.7251819324555715
10014,0.5,6.0,6.0,13.0,631414.8044563332,631414.8044563332,643541.4549230462,610164.1796702052,0.0,-1.9205521285099438,3.3655569423059943,-1.9205521285099438,3.3655569423059943
10015,0.5,6.0,6.0,14.0,748514.5060913323,750394.6101200248,755203.6101200248,674463.5060913323,-0.25117803508046677,-0.8936505537644553,9.893061443349561,-0.6408628120650821,10.11882321710005
10016,0.5,6.0,6.0,15.0,756544.8333934558,756544.8333934558,756544.8333934558,756544.8333934558,0.0,0.0,0.0,0.0,0.0
10017,0.5,6.0,6.0,16.0,715234.4041681668,719744.643726287,701571.4041681668,663383.643726287,-0.6305960020709083,1.91028282761235,7.249477952921381,2.5249565545959487,7.8306939122472485
10018,0.5,6.0,6.0,17.0,762769.7681316892,716591.7681316892,704976.7681316892,672930.6058427852,6.053989280816325,7.576729232669623,11.778018222845139,1.620867070561365,6.092891968705993
10019,0.5,6.0,6.0,18.0,645179.68669959,674148.68669959,662931.8761600463,617731.9454639757,-4.490066968504638,-2.751510908731103,4.254278583385495,1.663848163000575,8.368590245545398
10020,0.5,6.0,6.0,19.0,691997.1322769641,677938.7999172737,677938.7999172737,659962.7999172737,2.0315593380325976,2.0315593380325976,4.629257964449059,0.0,2.6515667789177346
10021,0.5,6.0,6.0,20.0,921086.7389951036,822800.7736335427,822800.7736335427,822800.7736335427,10.670652523864357,10.670652523864357,10.670652523864357,0.0,0.0
10022,0.5,6.0,6.0,21.0,725310.0866947162,609983.9910639764,714063.8217938032,595240.9910639764,15.900247045548214,1.550545774451164,17.93289491167466,-17.062715129340287,2.416948676683176
10023,0.5,6.0,6.0,22.0,838197.3736336367,879336.5316938045,826829.5316938045,793928.5316938045,-4.908051415363787,1.3562249533844173,5.2814341027965845,5.971206484377424,9.712777409063687
10024,0.5,6.0,6.0,23.0,866200.2765989446,840654.2765989446,835820.8618879273,828239.8618879273,2.9492024754718402,3.5072044574147734,4.382406209804659,0.5749586774924814,1.476756266707234
10025,0.5,6.0,6.0,24.0,847535.360867307,826384.360867307,826577.360867307,811667.360867307,2.495589090035793,2.472817178808101,4.232035813030297,-0.02335474981610768,1.780890430278014
10026,0.5,6.0,6.0,25.0,834166.4805231486,805160.3163330706,785435.4805231486,767510.4805231486,3.4772632163170436,5.841879425488099,7.990731053853495,2.4498022828241957,4.676066995128393
10027,0.5,6.0,6.0,26.0,745736.926594225,734968.926594225,734968.926594225,730498.926594225,1.443940834360634,1.443940834360634,2.0433479229185862,0.0,0.6081889775549489
10028,0.5,6.0,6.0,27.0,584235.9895316686,525863.9895316686,573368.9895316686,505437.1185956428,9.99116813169825,1.860036046172221,13.487507162849047,-9.03370471180346,3.8844399583660136
10029,0.5,6.0,6.0,28.0,823545.6422731543,820164.6422731543,817124.271594568,802981.6422731543,0.41054190884524006,0.7797225009729889,2.4970079306399042,0.37070248117008114,2.095067150465776
10030,0.5,6.0,6.0,29.0,695588.2440681811,705153.2440681811,705153.2440681811,697029.0577405756,-1.37509512007544,-1.37509512007544,-0.20713600102954932,0.0,1.1521164223446418
10031,0.5,6.0,6.0,30.0,725259.7835048554,701834.7832683943,718676.7835048554,701834.7832683943,3.229877179078996,0.907674760095936,3.229877179078996,-2.3997101081295895,0.0
10032,0.5,6.0,6.0,31.0,694004.3209027697,679121.1305625951,700578.1305625951,661769.3209027697,2.144538570136617,-0.9472289237729975,4.644783761298243,-3.159524720166588,2.5550389877356463
10033,0.5,6.0,6.0,32.0,616711.8894825592,594807.46768474,661440.46768474,581604.46768474,3.551807930312112,-7.252751076310446,5.69267795814273,-11.202448459392382,2.219709858618967
10034,0.5,6.0,6.0,33.0,702712.8734699409,734222.8454415181,693528.8454415181,680496.8454415181,-4.484046494834157,1.3069389184622058,3.1614659225925004,5.542458975861619,7.31739693657889
10035,0.5,6.0,6.0,34.0,702328.748115198,627605.748115198,667986.748115198,627166.748115198,10.639319577979702,4.8897329195425625,10.701825918661058,-6.434134824493036,0.06994837146064839
10036,0.5,6.0,6.0,35.0,587398.2357826902,550730.2357826902,589094.2357826902,516762.23578269023,6.242442991191659,-0.2887308637793458,12.025231894998745,-6.966023927391168,6.167810988573225
10037,0.5,6.0,6.0,36.0,663804.4747791531,602208.9127340922,590130.2773405844,602093.1476008228,9.279172464987326,11.098779872353226,9.296612108386517,2.0057217915738734,0.019223417458864574
10038,0.5,6.0,6.0,37.0,708539.0265757975,704203.0265757975,685861.3957104632,673609.0265757975,0.6119634681176094,3.2006184578046404,4.92986253259873,2.604594154404715,4.344485730026466
10039,0.5,6.0,6.0,38.0,715143.6011472729,715143.6011472729,715143.6011472729,675790.3341694382,0.0,0.0,5.502848227223448,0.0,5.502848227223448
10040,0.5,6.0,6.0,39.0,695543.7113761922,726340.7113761922,776751.718767072,680325.718767072,-4.427759103603356,-11.675471442363108,2.187927568061843,-6.940407800543968,6.3351801555961185
